OSM_ID,Longitude,Latitude,Label
26427174,-118.4276454,33.9475402,
26427182,-118.4277705,33.9462823,
26427185,-118.42918,33.9461417,
26427197,-118.4236015,33.9467123,
26427218,-118.4347145,33.9457124,
26427235,-118.4270877,33.9417222,
26427329,-118.4093892,33.9491574,
26427331,-118.4194051,33.9503245,
26427334,-118.4110839,33.9481341,
26427336,-118.4130587,33.9479316,
26427338,-118.4150911,33.9483045,
26427339,-118.4084688,33.9484015,
26427342,-118.409264,33.9483191,
26427461,-118.4060461,33.9486481,
26427463,-118.4040176,33.9488519,
26427464,-118.4025808,33.949,
26427465,-118.4027744,33.9481969,
26427466,-118.4058616,33.947845,
143646731,-118.3832115,33.9395343,RWY 25R
143646751,-118.3908483,33.9387546,
143646780,-118.4192123,33.9358515,RWY 7L
202390464,-118.4264409,33.9372857,
202390518,-118.4193772,33.936802,
202390687,-118.4194284,33.9371794,
202410321,-118.4190344,33.9347632,
202410365,-118.412698,33.9330736,
202546976,-118.4128563,33.9469344,
202547008,-118.4005199,33.9484701,
202547078,-118.409152,33.9471431,
202547457,-118.4010268,33.9484199,
202547490,-118.4021431,33.9490484,
202547499,-118.4020419,33.9517251,
202607011,-118.409196,33.9382312,
202607125,-118.4029551,33.9393087,
202607184,-118.4067146,33.9381019,
202607205,-118.4091393,33.9378526,
202607218,-118.4126535,33.9374945,
202607243,-118.4125847,33.9383243,
202607276,-118.4123661,33.9343341,
202607684,-118.407028,33.9371009,
202607699,-118.4072828,33.9348609,
202607725,-118.4090025,33.9369001,
202607741,-118.4092599,33.938666,
203697985,-118.4075606,33.9336026,
203997939,-118.3901568,33.9405288,
203997945,-118.3922866,33.9404012,
203997952,-118.3951996,33.9401053,
203997964,-118.3981871,33.939799,
203998094,-118.3921664,33.9395886,
203998108,-118.3933649,33.9394623,
203998123,-118.3937261,33.9384437,
203998150,-118.3937984,33.935009,
203998393,-118.3951743,33.939278,
203998409,-118.3900476,33.9398035,
206018663,-118.3804306,33.9407849,
206036041,-118.3833437,33.9404811,
444668959,-118.4001352,33.9464556,
444668990,-118.4031652,33.945603,
444961612,-118.3800205,33.940524,
444961653,-118.3802884,33.9398328,
444961826,-118.4179597,33.9501293,
444961843,-118.4220271,33.9468713,
444961859,-118.4223434,33.9474575,
444961884,-118.434692,33.9468183,
444961885,-118.4337309,33.9454323,
444961900,-118.4258365,33.9361442,
1294095101,-118.4310579,33.9491303,RWY 6L
1523113503,-118.4193328,33.9364891,
1523113554,-118.41902,33.9336567,RWY 7R
1523113634,-118.3955041,33.9371687,
1523113656,-118.3839409,33.9411665,
1523113690,-118.4231252,33.9499432,
1523113701,-118.3891785,33.9349204,
1523113732,-118.3881208,33.9390321,
1523113789,-118.3917888,33.9375534,
1523113854,-118.4189779,33.9376662,
1523113907,-118.4088405,33.9358091,
1523113951,-118.4190088,33.9368403,
1523114112,-118.3938818,33.9347205,
1523114138,-118.3978874,33.9361029,
1523114139,-118.3940606,33.9380593,
1523114177,-118.3910648,33.9405282,
1523114217,-118.4005159,33.9366598,
1523114253,-118.4311801,33.9491177,
1523114272,-118.3958904,33.9360216,
1523114296,-118.4126956,33.9365144,
1523114342,-118.4186053,33.9348082,
1523114349,-118.4177141,33.9349004,
1523114379,-118.399059,33.9504688,
1523114404,-118.3885365,33.9349885,
1523114420,-118.4019676,33.9521114,
1523114437,-118.421707,33.9365628,
1534045260,-118.4080826,33.9391622,
1534045363,-118.4046743,33.9373346,
1534045381,-118.4028615,33.9364137,
1534045402,-118.4010232,33.942609,
1534045474,-118.4168676,33.9374421,
1534045513,-118.4004527,33.9387409,
1534045520,-118.4145237,33.9481105,
1534045545,-118.405709,33.9416387,
1534045607,-118.4003157,33.9377737,
1534045642,-118.4077433,33.9379965,
